,beer_beerid,beer_name,brewery_name
0,47986,Sausa Weizen,Vecchio Birraio
1,48213,Red Moon,Vecchio Birraio
2,48215,Black Horse Black Beer,Vecchio Birraio
3,47969,Sausa Pils,Vecchio Birraio
4,64883,Cauldron DIPA,Caldera Brewing Company
5,52159,Caldera Ginger Beer,Caldera Brewing Company
10,436,Amstel Light,Amstel Brouwerij B. V.
15,10789,Caldera Oatmeal Stout,Caldera Brewing Company
17,12386,Caldera OBF 15,Caldera Brewing Company
19,58046,Rauch Ür Bock,Caldera Brewing Company
63,25414,Caldera Pale Ale,Caldera Brewing Company
66,10788,Pilot Rock Porter,Caldera Brewing Company
115,58920,Vas Deferens Ale,Caldera Brewing Company
257,10784,Caldera IPA,Caldera Brewing Company
273,20818,Old Growth Imperial Stout,Caldera Brewing Company
292,10786,Dry Hop Red,Caldera Brewing Company
312,10794,Southside Strong,Caldera Brewing Company
313,54330,Caldera Märzen,Caldera Brewing Company
314,20817,Lawnmower Lager,Caldera Brewing Company
328,61427,Caldera Rose Petal (Kettle Series),Caldera Brewing Company
349,3386,Amstel Bright,Amstel Brouwerij B. V.
392,55097,Nut Brown,Broad Ripple Brew Pub
402,2780,The Captain's Porter,Moon River Brewing Company
446,2725,Swamp Fox IPA,Moon River Brewing Company
656,33624,Hoppin' To Heaven IPA,Hoppin' Frog Brewery
679,56071,Hopportunity Knocks,Caldera Brewing Company
707,10785,Ashland Amber,Caldera Brewing Company
722,76963,Coconut Porter,Caldera Brewing Company
723,23290,Dry Hop Orange,Caldera Brewing Company
725,49803,Kirner Pils Premium,Kirner Bier
730,3274,Caldera Pilsener Bier,Caldera Brewing Company
732,60951,Hibiscus Ginger Beer,Caldera Brewing Company
733,37917,Exotic Erotic Passion Fruit Ale,Caldera Brewing Company
792,47695,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,Hoppin' Frog Brewery
794,10793,Cauldron Brew,Caldera Brewing Company
872,2724,Inspiration Ale,Moon River Brewing Company
892,72330,Hop Hash,Caldera Brewing Company
894,60990,Mogli,Caldera Brewing Company
900,45543,Welsh Pride,Conwy Brewery Ltd
905,54216,Welsh Honey Bitter,Conwy Brewery Ltd
907,39314,Telford Porter,Conwy Brewery Ltd
908,45855,Celebration Ale,Conwy Brewery Ltd
911,45628,Honey Fayre,Conwy Brewery Ltd
913,55951,Holiday Imperial,Pacific Coast Brewing Company
915,8769,Columbus India Pale Ale,Pacific Coast Brewing Company
917,64800,Holiday XXII Imperial Blue,Pacific Coast Brewing Company
918,68668,Luck O' The Irish,Pacific Coast Brewing Company
920,68672,Old Oakland Ale,Pacific Coast Brewing Company
921,69087,Yellowjacket Ale,Pacific Coast Brewing Company
922,15894,Code Blue,Pacific Coast Brewing Company
928,44082,Orca Porter,Pacific Coast Brewing Company
929,39606,Leviathan Imperial Stout,Pacific Coast Brewing Company
931,31973,Mt. Takhoma Blonde Ale,Harmon Restaurant & Brewery
938,12835,Deviator Doppelbock,Pacific Coast Brewing Company
939,51834,Blue Whale Ale,Pacific Coast Brewing Company
942,41084,Grey Whale Ale,Pacific Coast Brewing Company
947,8770,Killer Whale Stout,Pacific Coast Brewing Company
953,70395,Schinderhannes Bock,Kirner Bier
956,1415,Amstel Gold,Amstel Brouwerij B. V.
960,66308,Amstel Sterk (Strong),Amstel Brouwerij B. V.
961,59239,Amstel Malt,Amstel Brouwerij B. V.
1208,20575,Hefeweizen,Yazoo Brewing Company
1264,53679,Ballz Deep Double IPA,7 Seas Brewery and Taproom
1372,51814,Pacific Pilsner,Calapooia Brewing Company
1436,33584,Amstel (Pure Filtered),Amstel Brouwerij B. V.
1441,1414,Amstel Lager,Amstel Brouwerij B. V.
1475,4371,Brown's Point ESB,Harmon Restaurant & Brewery
1502,1413,Amstel 1870,Amstel Brouwerij B. V.
1503,1418,Amstel Bock,Amstel Brouwerij B. V.
1516,63220,Viven Porter,Brouwerij Van Viven
1521,23326,Amber IPA,"Clockwork Beer Co, The"
1522,23329,Original Lager,"Clockwork Beer Co, The"
1524,23328,Red Alt Ale,"Clockwork Beer Co, The"
1528,23327,Gosch,"Clockwork Beer Co, The"
1529,27666,Holiday Ale,Destiny Brewing Company
1530,26817,Pumpkin Ale,Destiny Brewing Company
1531,27664,Newark IPA,Destiny Brewing Company
1532,26419,Red Rye Ale,Destiny Brewing Company
1533,26418,Wheat Ale,Destiny Brewing Company
1534,26420,Pale Ale,Destiny Brewing Company
1536,3825,Harboe Bjørnebryg (Bear Beer),Harboes Bryggeri A/S
1537,27799,Sweet Stout,Destiny Brewing Company
1538,52445,Nobu Special Reserve,Hokusetsu Brewery
1541,36470,"Harboe Silver Beer 3,5%",Harboes Bryggeri A/S
1542,22808,Harboe Den Glada Danskens Lättöl,Harboes Bryggeri A/S
1559,36580,"Harboe Pilsner 2,8%",Harboes Bryggeri A/S
1560,22604,Harboe Bjørnebryg Extra Stark (Bear Beer Extra Strong),Harboes Bryggeri A/S
1565,38540,Harboe Kräftöl,Harboes Bryggeri A/S
1566,23315,"Netto ""24"" Fødselsdags-Bryg",Harboes Bryggeri A/S
1567,36609,"Harboe Påskebryg 2,8%",Harboes Bryggeri A/S
1568,36484,"Harbroe Classic Beer 2,8%",Harboes Bryggeri A/S
1569,36720,"Harboe Pilsner 3,5%",Harboes Bryggeri A/S
1570,22615,Harboe Classic 110,Harboes Bryggeri A/S
1572,42953,Skælskør Original Black,Harboes Bryggeri A/S
1573,37175,Harboe Dunkel,Harboes Bryggeri A/S
1575,49485,De 5 Gaarde Falle Høstbryg,Harboes Bryggeri A/S
1576,22608,Harboe Julebryg,Harboes Bryggeri A/S
1578,32179,Christian Firtal Guldøl,Harboes Bryggeri A/S
